lizard_id,lizard_id,position,species,trt,clutch,hatch_date,mass,SVL,TL,Day,Sex,food_ingested,lat_to_move,lat_to_shelter,lat_move_to_shelter,Emerged_after,emerged_40min,notes
LD1172_22,1172,E4,delicata,B_28,CL313_22,16/11/2022,0.483,30,14,After,Male,9,403,420,17,0,0,Empty
LD1239_22,1239,E4,delicata,A_23,CL329_22,21/12/2022,0.668,31,43,After,Female,9,3,45,42,1,0,Autotomized
LD2346_22,2346,E4,delicata,B_23,CL633_23,3/3/2023,0.408,26,34,After,Female,8,21,304,283,1,1,Possible tumor on throat
LD1230_22,1230,F1,delicata,B_28,CL327_22,2/12/2022,0.82,-,-,After,Female,28,155,200,45,1,0,Empty
LD1487_22,1487,F1,delicata,A_23,CL402_22,18/1/2023,0.494,30,13,After,Male,13,12,49,37,1,1,Autotomized; empty
LD2351_22,2351,F1,delicata,A_28,CL634_23,13/2/2023,0.627,32,49,After,Male,6,89,123,34,1,0,
LG1419_22,1419,F2,guichenoti,A_28,CL382_22,16/12/2022,0.774,32,50,After,Female,32,5,521,516,1,0,
LG1534_22,1534,F2,guichenoti,A_23,CL415_22,18/1/2023,0.651,31,20,After,Female,16,32,83,51,1,1,Autotomized; empty
LG1580_22,1580,F2,guichenoti,B_28,CL428_22,4/1/2023,0.81,34,51,After,Female,21,15,31,16,1,1,
LG1613_22,1613,F2,guichenoti,B_23,CL439_22,23/1/2023,0.755,31,46,After,Male,30,158,404,246,1,1,
LD1182_22,1182,F3,delicata,B_23,CL315_22,12/12/2022,0.834,35,47,After,Male,20,59,199,140,1,0,
LD1424_22,1424,F3,delicata,A_23,CL383_22,6/1/2023,0.877,35,52,After,Female,30,126,169,43,1,1,
LD2106_22,2106,F3,delicata,A_28,CL569_22,25/1/2023,0.596,33,28,After,Female,16,27,121,94,1,1,Autotomized
LD2486_22,2486,F3,delicata,B_28,CL677_23,27/2/2023,0.561,30,46,After,Female,10,50,675,625,0,0,
LG1340_22,1340,F4,guichenoti,B_28,CL360_22,12/12/2022,0.689,34,20,After,Female,16,13,324,311,1,1,Autotomized
LG1417_22,1417,F4,guichenoti,B_28,CL381_22,6/1/2023,0.564,31,22,After,Female,11,99,335,236,1,1,Autotomized; empty
LG1467_22,1467,F4,guichenoti,A_28,CL397_22,23/12/2022,0.929,36,56,After,Female,20,9,211,202,1,1,
LG1421_22,1421,G1,guichenoti,B_23,CL382_22,6/1/2023,0.804,32,50,After,Male,24,64,243,179,1,1,
LG1674_22,1674,G1,guichenoti,B_23,CL455_22,9/1/2023,0.792,32,51,After,Female,23,209,255,46,1,1,
LG2009_22,2009,G1,guichenoti,A_28,CL542_22,25/1/2023,1.041,35,60,After,Male,39,18,436,418,1,1,
LD1258_22,1258,G2,delicata,A_28,CL334_22,5/12/2022,0.708,34,53,After,Female,18,324,850,526,1,0,
LD1328_22,1328,G2,delicata,A_23,CL357_22,26/12/2022,0.816,-,-,After,Male,20,16,31,15,1,1,
LD1408_22,1408,G2,delicata,B_28,CL379_22,14/12/2022,0.789,33,55,After,Female,22,377,570,193,1,1,
LG1360_22,1360,G3,guichenoti,A_28,CL366_22,14/12/2022,0.767,32,39,After,Female,35,1,343,342,1,1,Empty
LG1795_22,1795,G3,guichenoti,A_23,CL489_22,6/2/2023,1.023,38,59,After,Female,38,176,224,48,1,0,
LG2081_22,2081,G3,guichenoti,B_23,CL562_22,20/2/2023,0.593,29,42,After,Male,13,221,722,501,1,1,
LD1223_22,1223,G4,delicata,A_23,CL325_22,19/12/2022,0.575,32,40,After,Female,12,7,49,42,NA,0,
LD1334_22,1334,G4,delicata,A_28,CL358_22,7/12/2022,0.992,38,38,After,Female,30,6,12,6,1,0,Autotomized
LD1619_22,1619,G4,delicata,B_23,CL440_22,23/1/2023,0.646,30,49,After,Female,20,653,946,293,1,1,Empty
LD2242_22,2242,G4,delicata,B_28,CL604_22,6/2/2023,0.752,33,55,After,Male,15,1285,1334,49,NA,NA,
